PC	Variance_Percentage	cumulative_percentage
1	17.07550678782135	17.07550678782135
2	12.077445694291326	29.152952482112674
3	9.82673904975669	38.97969153186936
4	8.719028395541088	47.69871992741045
5	7.689236337888048	55.3879562652985
6	4.58166375719066	59.96962002248916
7	4.216759958911872	64.18637998140103
8	3.434920149852273	67.6213001312533
9	3.290746330319437	70.91204646157274
10	3.0745407441079244	73.98658720568066
11	2.7941736858334867	76.78076089151415
12	2.304330495009829	79.08509138652398
13	2.2220778720859786	81.30716925860996
14	2.1045193746120936	83.41168863322206
15	1.7826354378114058	85.19432407103346
16	1.6135989627348652	86.80792303376833
17	1.3412975117801373	88.14922054554846
18	1.139793874281167	89.28901441982963
19	0.9735997296549818	90.26261414948462
20	0.8615873949000503	91.12420154438466
21	0.8243557189265098	91.94855726331117
22	0.7954470081051456	92.74400427141632
23	0.7435005289788456	93.48750480039516
24	0.7336866552506355	94.2211914556458
25	0.49872396786661954	94.71991542351242
